City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,25.63,72,100,3.12,PF,1619487006
Yellowknife,62.456,-114.3525,-13.0,52,20,6.17,CA,1619486807
Aykhal,66.0,111.5,-10.54,89,99,6.39,RU,1619487006
Mulchén,-37.7167,-72.2333,10.54,70,3,1.62,CL,1619487006
Winston,28.0317,-82.0148,24.0,60,1,2.57,US,1619487006
Kapaa,22.0752,-159.319,25.0,69,1,4.12,US,1619487007
Kyzyl-Suu,42.3414,78.0056,11.22,37,10,1.46,KG,1619487007
Dano,11.15,-3.0667,30.3,40,83,3.95,BF,1619487007
Albany,42.6001,-73.9662,7.78,30,9,4.92,US,1619487007
Leh,34.1667,77.5833,1.8,34,0,1.28,IN,1619487007
Abu Dhabi,24.4667,54.3667,30.0,28,0,1.03,AE,1619486933
Norman Wells,65.282,-126.8329,-7.0,35,75,2.06,CA,1619487007
Dikson,73.5069,80.5464,-0.12,98,100,7.81,RU,1619487007
Pierre,44.3683,-100.351,13.33,67,1,6.69,US,1619487008
Cape Town,-33.9258,18.4232,17.78,94,75,5.66,ZA,1619486714
Geraldton,-28.7667,114.6,22.0,40,25,2.06,AU,1619487008
Punta Arenas,-53.15,-70.9167,6.0,100,90,3.09,CL,1619487008
Kaitangata,-46.2817,169.8464,10.56,70,99,1.79,NZ,1619487008
Belmonte,-15.8631,-38.8828,24.0,78,0,2.57,BR,1619487008
Laguna,38.421,-121.4238,18.89,25,1,2.06,US,1619487008
Vaini,-21.2,-175.2,24.0,100,90,2.06,TO,1619487009
Tepalcatepec,19.1833,-102.85,31.22,25,100,3.31,MX,1619487009
Heze,35.2431,115.4411,20.45,30,86,5.92,CN,1619486853
Lompoc,34.6391,-120.4579,14.0,62,0,7.72,US,1619487009
Mishkino,55.3389,63.9175,6.39,59,11,2.76,RU,1619487009
The Pas,53.8251,-101.2541,12.0,37,20,5.66,CA,1619487009
Vizinga,61.0749,50.1031,3.04,97,100,2.65,RU,1619487009
Neuquén,-38.9516,-68.0591,13.0,94,0,1.35,AR,1619487009
Nha Trang,12.25,109.1833,31.0,66,20,0.51,VN,1619486959
Adrar,20.5022,-10.0711,26.58,21,8,5.06,MR,1619487010
Kahului,20.8947,-156.47,28.0,57,40,2.57,US,1619487010
Hobart,-42.8794,147.3294,17.78,55,20,3.09,AU,1619487008
Plouzané,48.3833,-4.6167,7.0,87,0,4.12,FR,1619487010
Jamestown,42.097,-79.2353,8.33,42,75,5.14,US,1619487010
Miandrivazo,-19.5167,45.4667,23.26,83,97,1.78,MG,1619487010
Arrondissement de Cambrai,50.1667,3.4167,6.0,75,0,4.12,FR,1619487010
